"Geslacht";"Type werkenden";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Werkzame personen (x 1 000)";"Banen (x 1 000)";"Arbeidsjaren (x 1 000)";"Gewerkte uren (mln uren)"
"Totaal mannen en vrouwen";"Werknemers";"T Huishoudens";"2018*";"      26";"      47";"      17";"      31"
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2008";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2009";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2010";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2011";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2012";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2013";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2014";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2015";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2016";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2017*";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Werknemers";"U Extraterritoriale organisaties";"2018*";"       .";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2008";"    1384";"    1861";"    1060";"    2426"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2009";"    1381";"    1876";"    1059";"    2408"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2010";"    1382";"    1900";"    1075";"    2428"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2011";"    1410";"    1963";"    1112";"    2466"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2012";"    1437";"    1989";"    1125";"    2488"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2013";"    1447";"    1994";"    1134";"    2498"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2014";"    1480";"    2036";"    1159";"    2569"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2015";"    1492";"    2082";"    1195";"    2641"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2016";"    1518";"    2125";"    1230";"    2713"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2017*";"    1526";"    2132";"    1235";"    2727"
"Totaal mannen en vrouwen";"Zelfstandigen";"A-U Alle economische activiteiten";"2018*";"    1537";"    2155";"    1249";"    2737"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2008";"     102";"     136";"      94";"     254"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2009";"     100";"     133";"      92";"     250"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2010";"     101";"     134";"      91";"     247"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2011";"     100";"     136";"      91";"     244"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2012";"      97";"     133";"      89";"     239"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2013";"      95";"     129";"      90";"     236"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2014";"      96";"     130";"      89";"     240"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2015";"      97";"     131";"      88";"     238"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2016";"      97";"     134";"      90";"     245"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2017*";"      98";"     134";"      90";"     246"
"Totaal mannen en vrouwen";"Zelfstandigen";"A Landbouw, bosbouw en visserij";"2018*";"      98";"     135";"      91";"     246"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2008";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2009";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2010";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2011";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2012";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2013";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2014";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2015";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2016";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2017*";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B Delfstoffenwinning";"2018*";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2008";"      41";"      53";"      40";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2009";"      41";"      55";"      41";"      94"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2010";"      41";"      57";"      41";"      94"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2011";"      41";"      56";"      40";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2012";"      41";"      58";"      42";"      93"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2013";"      42";"      58";"      42";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2014";"      43";"      60";"      42";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2015";"      43";"      61";"      45";"      97"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2016";"      44";"      62";"      46";"     103"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2017*";"      45";"      62";"      47";"     103"
"Totaal mannen en vrouwen";"Zelfstandigen";"B-E Nijverheid (geen bouw) en energie";"2018*";"      45";"      62";"      47";"     104"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2008";"      40";"      53";"      39";"      91"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2009";"      41";"      54";"      40";"      94"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2010";"      40";"      55";"      41";"      93"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2011";"      40";"      55";"      39";"      90"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2012";"      40";"      56";"      41";"      91"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2013";"      41";"      56";"      41";"      90"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2014";"      42";"      57";"      41";"      91"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2015";"      42";"      58";"      44";"      95"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2016";"      43";"      59";"      45";"     101"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2017*";"      43";"      59";"      45";"     101"
"Totaal mannen en vrouwen";"Zelfstandigen";"C Industrie";"2018*";"      44";"      60";"      46";"     102"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2008";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2009";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2010";"       0";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2011";"       0";"       1";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2012";"       0";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2013";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2014";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2015";"       1";"       1";"       1";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2016";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2017*";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"D Energievoorziening";"2018*";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2008";"       0";"       0";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2009";"       0";"       0";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2010";"       0";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2011";"       0";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2012";"       0";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2013";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2014";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2015";"       1";"       1";"       0";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2016";"       1";"       1";"       1";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2017*";"       1";"       1";"       1";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"E Waterbedrijven en afvalbeheer";"2018*";"       1";"       1";"       1";"       1"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2008";"     153";"     198";"     156";"     334"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2009";"     156";"     200";"     158";"     337"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2010";"     145";"     185";"     145";"     309"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2011";"     150";"     191";"     150";"     317"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2012";"     151";"     191";"     150";"     311"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2013";"     150";"     189";"     149";"     308"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2014";"     156";"     194";"     154";"     319"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2015";"     158";"     201";"     159";"     335"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2016";"     162";"     205";"     167";"     354"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2017*";"     163";"     207";"     168";"     356"
"Totaal mannen en vrouwen";"Zelfstandigen";"F Bouwnijverheid";"2018*";"     165";"     211";"     171";"     358"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2008";"     281";"     358";"     261";"     645"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2009";"     261";"     338";"     244";"     602"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2010";"     262";"     347";"     249";"     613"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2011";"     265";"     358";"     252";"     609"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2012";"     265";"     359";"     252";"     608"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2013";"     260";"     352";"     247";"     591"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2014";"     266";"     361";"     252";"     615"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2015";"     267";"     369";"     261";"     627"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2016";"     268";"     374";"     261";"     626"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2017*";"     269";"     375";"     262";"     628"
"Totaal mannen en vrouwen";"Zelfstandigen";"G-I Handel, vervoer en horeca";"2018*";"     270";"     378";"     264";"     629"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2008";"     181";"     228";"     171";"     410"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2009";"     168";"     215";"     160";"     383"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2010";"     169";"     221";"     164";"     391"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2011";"     170";"     227";"     164";"     386"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2012";"     168";"     226";"     161";"     380"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2013";"     164";"     220";"     157";"     364"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2014";"     167";"     225";"     160";"     374"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2015";"     168";"     229";"     165";"     387"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2016";"     167";"     229";"     163";"     380"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2017*";"     167";"     229";"     163";"     381"
"Totaal mannen en vrouwen";"Zelfstandigen";"G Handel";"2018*";"     167";"     230";"     164";"     381"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2008";"      33";"      41";"      27";"      67"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2009";"      30";"      38";"      25";"      62"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2010";"      30";"      38";"      25";"      62"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2011";"      31";"      41";"      27";"      67"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2012";"      32";"      42";"      28";"      73"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2013";"      32";"      42";"      29";"      67"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2014";"      33";"      44";"      29";"      72"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2015";"      33";"      45";"      32";"      75"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2016";"      35";"      48";"      33";"      80"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2017*";"      35";"      48";"      33";"      80"
"Totaal mannen en vrouwen";"Zelfstandigen";"H Vervoer en opslag";"2018*";"      35";"      49";"      34";"      81"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2008";"      67";"      89";"      63";"     168"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2009";"      63";"      85";"      59";"     157"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2010";"      64";"      88";"      61";"     160"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2011";"      64";"      91";"      61";"     155"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2012";"      65";"      92";"      62";"     154"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2013";"      64";"      90";"      61";"     160"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2014";"      65";"      93";"      63";"     169"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2015";"      66";"      95";"      64";"     165"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2016";"      67";"      97";"      65";"     166"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2017*";"      67";"      98";"      65";"     167"
"Totaal mannen en vrouwen";"Zelfstandigen";"I Horeca";"2018*";"      67";"      98";"      66";"     167"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2008";"      32";"      47";"      31";"      69"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2009";"      31";"      47";"      31";"      70"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2010";"      32";"      49";"      33";"      74"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2011";"      34";"      53";"      36";"      79"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2012";"      36";"      55";"      37";"      81"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2013";"      37";"      57";"      38";"      82"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2014";"      39";"      59";"      40";"      85"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2015";"      40";"      61";"      42";"      88"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2016";"      42";"      64";"      44";"      91"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2017*";"      42";"      64";"      44";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"J Informatie en communicatie";"2018*";"      43";"      65";"      45";"      92"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2008";"       8";"      11";"       7";"      15"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2009";"       7";"      10";"       6";"      14"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2010";"       6";"       9";"       6";"      13"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2011";"       6";"       9";"       6";"      14"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2012";"       6";"       9";"       6";"      13"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2013";"       6";"       8";"       6";"      12"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2014";"       6";"       8";"       6";"      13"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2015";"       6";"       8";"       5";"      12"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2016";"       6";"       8";"       5";"      12"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2017*";"       6";"       8";"       5";"      12"
"Totaal mannen en vrouwen";"Zelfstandigen";"K Financiële dienstverlening";"2018*";"       6";"       8";"       5";"      12"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2008";"      10";"      16";"       8";"      17"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2009";"      10";"      17";"       8";"      17"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2010";"      10";"      18";"       9";"      19"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2011";"      10";"      19";"       8";"      19"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2012";"      11";"      20";"       9";"      19"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2013";"      11";"      19";"       9";"      21"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2014";"      11";"      19";"       8";"      20"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2015";"      11";"      19";"       9";"      20"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2016";"      11";"      19";"      10";"      20"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2017*";"      11";"      19";"      10";"      20"
"Totaal mannen en vrouwen";"Zelfstandigen";"L Verhuur en handel van onroerend goed";"2018*";"      11";"      19";"      10";"      20"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2008";"     425";"     568";"     214";"     458"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2009";"     428";"     576";"     218";"     464"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2010";"     446";"     606";"     237";"     503"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2011";"     459";"     629";"     252";"     522"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2012";"     468";"     636";"     256";"     528"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2013";"     474";"     644";"     260";"     537"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2014";"     485";"     656";"     268";"     557"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2015";"     489";"     670";"     281";"     585"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2016";"     493";"     678";"     287";"     593"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2017*";"     495";"     680";"     288";"     595"
"Totaal mannen en vrouwen";"Zelfstandigen";"M-N Zakelijke dienstverlening";"2018*";"     498";"     686";"     291";"     597"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2008";"     184";"     242";"     110";"     248"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2009";"     184";"     244";"     113";"     253"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2010";"     197";"     265";"     128";"     285"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2011";"     206";"     279";"     138";"     297"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2012";"     213";"     286";"     143";"     305"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2013";"     216";"     290";"     144";"     310"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2014";"     224";"     298";"     150";"     324"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2015";"     227";"     309";"     162";"     350"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2016";"     229";"     314";"     164";"     353"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2017*";"     231";"     315";"     164";"     355"
"Totaal mannen en vrouwen";"Zelfstandigen";"M Specialistische zakelijke diensten";"2018*";"     233";"     319";"     167";"     356"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2008";"     240";"     326";"     104";"     210"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2009";"     243";"     332";"     105";"     211"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2010";"     249";"     341";"     109";"     218"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2011";"     253";"     350";"     114";"     225"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2012";"     255";"     350";"     113";"     223"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2013";"     258";"     354";"     115";"     227"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2014";"     261";"     359";"     118";"     233"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2015";"     262";"     361";"     119";"     235"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2016";"     264";"     364";"     123";"     240"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2017*";"     264";"     365";"     123";"     241"
"Totaal mannen en vrouwen";"Zelfstandigen";"N Verhuur en overige zakelijke diensten";"2018*";"     265";"     366";"     124";"     241"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2008";"     219";"     315";"     140";"     304"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2009";"     228";"     332";"     145";"     312"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2010";"     222";"     328";"     146";"     308"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2011";"     222";"     336";"     154";"     316"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2012";"     235";"     348";"     161";"     336"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2013";"     241";"     355";"     167";"     347"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2014";"     242";"     358";"     169";"     352"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2015";"     245";"     366";"     171";"     358"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2016";"     252";"     377";"     179";"     369"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2017*";"     254";"     379";"     181";"     372"
"Totaal mannen en vrouwen";"Zelfstandigen";"O-Q Overheid en zorg";"2018*";"     257";"     385";"     183";"     374"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2008";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2009";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2010";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2011";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2012";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2013";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2014";"       0";"       0";"       0";"       0"
"Totaal mannen en vrouwen";"Zelfstandigen";"O Openbaar bestuur en overheidsdiensten";"2015";"       0";"       0";"       0";"       0"
